Found enzyme: Carbonic anhydrase (4.2.1.1)
--- Substrate, Organism, UniProt ID, KM Value (mM) ---
Substrate: 4-nitrophenyl acetate, Organism: Bos taurus, UniProt ID: , KM Value: 0.785
Substrate: 4-nitrophenyl acetate, Organism: Bos taurus, UniProt ID: , KM Value: 0.541
Substrate: 4-nitrophenyl acetate, Organism: Bos taurus, UniProt ID: , KM Value: 0.862
Substrate: 4-nitrophenyl acetate, Organism: Bos taurus, UniProt ID: , KM Value: 0.002409
Substrate: 4-nitrophenyl acetate, Organism: Ovis aries, UniProt ID: , KM Value: 0.01787
Substrate: 4-nitrophenyl acetate, Organism: Oncorhynchus mykiss, UniProt ID: , KM Value: 5.1
Substrate: 4-nitrophenyl acetate, Organism: Corynebacterium flavescens, UniProt ID: , KM Value: 5.12
Substrate: p-nitrophenyl acetate, Organism: Elephas trogontherii, UniProt ID: , KM Value: 6.8
Substrate: p-nitrophenyl acetate, Organism: Elephas trogontherii, UniProt ID: , KM Value: 3.86
Substrate: p-nitrophenyl acetate, Organism: Elephas trogontherii, UniProt ID: , KM Value: 4.83
Substrate: p-nitrophenyl acetate, Organism: Elephas trogontherii, UniProt ID: , KM Value: 4.525
Substrate: HCO3-, Organism: Homo sapiens, UniProt ID: , KM Value: 26.0
Substrate: HCO3-, Organism: Homo sapiens, UniProt ID: , KM Value: 37.0
Substrate: HCO3-, Organism: Pisum sativum, UniProt ID: , KM Value: 30.0
Substrate: HCO3-, Organism: Halothiobacillus neapolitanus, UniProt ID: , KM Value: 9.3
Substrate: 4-nitrophenyl phosphate, Organism: Homo sapiens, UniProt ID: , KM Value: 0.935
Substrate: 4-nitrophenyl phosphate, Organism: Homo sapiens, UniProt ID: , KM Value: 2.195
Substrate: COS, Organism: Bos taurus, UniProt ID: , KM Value: 1.86
